,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
1 H.8,faust://document/faustedition/1_H.8,1 H.8,Witness,,1,17,16,0,,,,,,,,11
wa: 182 i_r_o,faust://inscription/wa/182/i_r_o,wa: 182 i_r_o,Inscription,wa: 182,2,21,22,3,,,,,,,,3
wa: 182,faust://document/wa/182,wa: 182,UnknownRef,,3,20,23,4,,,,,,,,2
2 III H.12a,faust://document/faustedition/2_III_H.12a,2 III H.12a,Witness,,4,31,30,0,,,,,,,,339
2 III H.23a*,faust://document/faustedition/2_III_H.23a_,2 III H.23a*,Witness,,5,43,44,4,,,,,,,,351
2 III H.23b,faust://document/faustedition/2_III_H.23b,2 III H.23b,Witness,,6,45,46,4,,,,,,,,352
2 III H.23c,faust://document/faustedition/2_III_H.23c,2 III H.23c,Witness,,7,47,48,4,,,,,,,,353
2 III H.24a,faust://document/faustedition/2_III_H.24a,2 III H.24a,Witness,,8,51,52,4,,,,,,,,356
2 III H.25,faust://document/faustedition/2_III_H.25,2 III H.25,Witness,,9,53,55,4,,,,,,,,357
2 III H.2:1,faust://document/faustedition/2_III_H.2_1,2 III H.2:1,Witness,,10,60,61,2,,,,,,,,307
2 III H.2:2,faust://document/faustedition/2_III_H.2_2,2 III H.2:2,Witness,,11,63,62,0,,,,,,,,308
2 III H.33,faust://document/faustedition/2_III_H.33,2 III H.33,Witness,,12,73,74,7,,,,,,,,366
2 III H.26,faust://document/faustedition/2_III_H.26,2 III H.26,Witness,,13,56,77,8,,,,,,,,359
2 III H.32,faust://document/faustedition/2_III_H.32,2 III H.32,Witness,,14,72,78,9,,,,,,,,365
2 III H.37a,faust://document/faustedition/2_III_H.37a,2 III H.37a,Witness,,15,82,83,4,,,,,,,,372
2 III H.3a:1,faust://document/faustedition/2_III_H.3a_1,2 III H.3a:1,Witness,,16,87,86,0,,,,,,,,316
2 III H.3a:2,faust://document/faustedition/2_III_H.3a_2,2 III H.3a:2,Witness,,17,89,88,0,,,,,,,,317
2 III H.37,faust://document/faustedition/2_III_H.37,2 III H.37,Witness,,18,81,95,4,,,,,,,,371
2 III H.42a,faust://document/faustedition/2_III_H.42a,2 III H.42a,Witness,,19,96,97,4,,,,,,,,378
2 III H.45a,faust://document/faustedition/2_III_H.45a,2 III H.45a,Witness,,20,103,102,0,,,,,,,,383
2 III H.45b,faust://document/faustedition/2_III_H.45b,2 III H.45b,Witness,,21,105,104,0,,,,,,,,384
2 III H.46a,faust://document/faustedition/2_III_H.46a,2 III H.46a,Witness,,22,108,107,0,,,,,,,,386
2 III H.48,faust://document/faustedition/2_III_H.48,2 III H.48,Witness,,23,111,112,2,,,,,,,,389
2 III H.49b,faust://document/faustedition/2_III_H.49b,2 III H.49b,Witness,,24,116,117,4,,,,,,,,393
2 III H.49c,faust://document/faustedition/2_III_H.49c,2 III H.49c,Witness,,25,118,119,4,,,,,,,,394
2 III H.50,faust://document/faustedition/2_III_H.50,2 III H.50,Witness,,26,121,122,2,,,,,,,,395
2 III H.50c,faust://document/faustedition/2_III_H.50c,2 III H.50c,Witness,,27,125,127,7,,,,,,,,398
2 III H.52,faust://document/faustedition/2_III_H.52,2 III H.52,Witness,,28,129,131,10,,,,,,,,401
2 III H.56a,faust://document/faustedition/2_III_H.56a,2 III H.56a,Witness,,29,135,136,4,,,,,,,,406
2 III H.56b,faust://document/faustedition/2_III_H.56b,2 III H.56b,Witness,,30,137,138,4,,,,,,,,407
2 III H.56c,faust://document/faustedition/2_III_H.56c,2 III H.56c,Witness,,31,139,140,4,,,,,,,,408
2 III H.57a,faust://document/faustedition/2_III_H.57a,2 III H.57a,Witness,,32,142,143,5,,,,,,,,410
2 III H.58a,faust://document/faustedition/2_III_H.58a,2 III H.58a,Witness,,33,145,146,4,,,,,,,,412
2 III H.61,faust://document/faustedition/2_III_H.61,2 III H.61,Witness,,34,152,153,5,,,,,,,,418
2 III H.63,faust://document/faustedition/2_III_H.63,2 III H.63,Witness,,35,155,157,6,,,,,,,,420
2 III H.64a,faust://document/faustedition/2_III_H.64a,2 III H.64a,Witness,,36,158,160,4,,,,,,,,422
2 III H.64b,faust://document/faustedition/2_III_H.64b,2 III H.64b,Witness,,37,159,161,7,,,,,,,,423
2 III H.64c,faust://document/faustedition/2_III_H.64c,2 III H.64c,Witness,,38,162,163,4,,,,,,,,424
2 III H.64d,faust://document/faustedition/2_III_H.64d,2 III H.64d,Witness,,39,164,165,4,,,,,,,,425
2 III H.64e,faust://document/faustedition/2_III_H.64e,2 III H.64e,Witness,,40,167,166,0,,,,,,,,426
2 III H.66,faust://document/faustedition/2_III_H.66,2 III H.66,Witness,,41,169,170,2,,,,,,,,428
2 III H.66a,faust://document/faustedition/2_III_H.66a,2 III H.66a,Witness,,42,171,172,7,,,,,,,,429
2 III H.68,faust://document/faustedition/2_III_H.68,2 III H.68,Witness,,43,174,175,2,,,,,,,,431
2 III H.75a,faust://document/faustedition/2_III_H.75a,2 III H.75a,Witness,,44,186,187,4,,,,,,,,441
2 III H.76,faust://document/faustedition/2_III_H.76,2 III H.76,Witness,,45,189,190,3,,,,,,,,443
2 III H.81,faust://document/faustedition/2_III_H.81,2 III H.81,Witness,,46,202,203,5,,,,,,,,449
2 III H.81a,faust://document/faustedition/2_III_H.81a,2 III H.81a,Witness,,47,204,205,7,,,,,,,,450
2 III H.81b*,faust://document/faustedition/2_III_H.81b_,2 III H.81b*,Witness,,48,207,206,0,,,,,,,,451
2 III H.7:2,faust://document/faustedition/2_III_H.7_2,2 III H.7:2,Witness,,49,196,210,4,,,,,,,,326
2 II H.11a,faust://document/faustedition/2_II_H.11a,2 II H.11a,Witness,,50,218,217,0,,,,,,,,233
2 II H.13a,faust://document/faustedition/2_II_H.13a,2 II H.13a,Witness,,51,222,221,0,,,,,,,,236
2 II H.16,faust://document/faustedition/2_II_H.16,2 II H.16,Witness,,52,225,226,2,,,,,,,,239
2 II H.21,faust://document/faustedition/2_II_H.21,2 II H.21,Witness,,53,232,233,2,,,,,,,,245
2 II H.26,faust://document/faustedition/2_II_H.26,2 II H.26,Witness,,54,238,239,4,,,,,,,,250
2 II H.27:1,faust://document/faustedition/2_II_H.27_1,2 II H.27:1,Witness,,55,241,240,0,,,,,,,,252
2 II H.29,faust://document/faustedition/2_II_H.29,2 II H.29,Witness,,56,244,245,2,,,,,,,,255
2 II H.2:2,faust://document/faustedition/2_II_H.2_2,2 II H.2:2,Witness,,57,248,247,0,,,,,,,,217
2 II H.30,faust://document/faustedition/2_II_H.30,2 II H.30,Witness,,58,251,252,6,,,,,,,,256
2 II H.31,faust://document/faustedition/2_II_H.31,2 II H.31,Witness,,59,253,254,5,,,,,,,,257
2 II H.32,faust://document/faustedition/2_II_H.32,2 II H.32,Witness,,60,256,257,2,,,,,,,,259
2 II H.36,faust://document/faustedition/2_II_H.36,2 II H.36,Witness,,61,261,262,6,,,,,,,,263
2 II H.37,faust://document/faustedition/2_II_H.37,2 II H.37,Witness,,62,264,265,2,,,,,,,,265
2 II H.40,faust://document/faustedition/2_II_H.40,2 II H.40,Witness,,63,269,270,2,,,,,,,,268
2 II H.41,faust://document/faustedition/2_II_H.41,2 II H.41,Witness,,64,271,272,6,,,,,,,,269
2 II H.39,faust://document/faustedition/2_II_H.39,2 II H.39,Witness,,65,267,274,8,,,,,,,,267
2 II H.43,faust://document/faustedition/2_II_H.43,2 II H.43,Witness,,66,275,276,2,,,,,,,,271
2 II H.44,faust://document/faustedition/2_II_H.44,2 II H.44,Witness,,67,277,278,5,,,,,,,,272
2 II H.50,faust://document/faustedition/2_II_H.50,2 II H.50,Witness,,68,287,288,2,,,,,,,,279
2 II H.51,faust://document/faustedition/2_II_H.51,2 II H.51,Witness,,69,289,290,6,,,,,,,,280
2 II H.47,faust://document/faustedition/2_II_H.47,2 II H.47,Witness,,70,281,292,11,,,,,,,,275
2 II H.53,faust://document/faustedition/2_II_H.53,2 II H.53,Witness,,71,293,294,4,,,,,,,,282
2 II H.24,faust://document/faustedition/2_II_H.24,2 II H.24,Witness,,72,236,296,11,,,,,,,,248
2 II H.54,faust://document/faustedition/2_II_H.54,2 II H.54,Witness,,73,295,297,6,,,,,,,,283
2 II H.59,faust://document/faustedition/2_II_H.59,2 II H.59,Witness,,74,302,303,2,,,,,,,,288
2 II H.5a,faust://document/faustedition/2_II_H.5a,2 II H.5a,Witness,,75,304,305,2,,,,,,,,223
2 II H.6a,faust://document/faustedition/2_II_H.6a,2 II H.6a,Witness,,76,318,317,0,,,,,,,,225
2 II H.6b,faust://document/faustedition/2_II_H.6b,2 II H.6b,Witness,,77,320,319,0,,,,,,,,226
2 II H.73,faust://document/faustedition/2_II_H.73,2 II H.73,Witness,,78,325,326,7,,,,,,,,302
2 II H.35,faust://document/faustedition/2_II_H.35,2 II H.35,Witness,,79,260,328,4,,,,,,,,262
2 II H.36a,faust://document/faustedition/2_II_H.36a,2 II H.36a,Witness,,80,263,329,4,,,,,,,,264
2 II H.47a,faust://document/faustedition/2_II_H.47a,2 II H.47a,Witness,,81,282,330,4,,,,,,,,276
2 II H.18,faust://document/faustedition/2_II_H.18,2 II H.18,Witness,,82,229,333,8,,,,,,,,242
2 II H.8:2,faust://document/faustedition/2_II_H.8_2,2 II H.8:2,Witness,,83,332,334,5,,,,,,,,229
2 IV H.1,faust://document/faustedition/2_IV_H.1,2 IV H.1,Witness,,84,336,342,4,,,,,,,,452
2 IV H.13b,faust://document/faustedition/2_IV_H.13b,2 IV H.13b,Witness,,85,344,343,0,,,,,,,,470
2 IV H.14,faust://document/faustedition/2_IV_H.14,2 IV H.14,Witness,,86,345,346,4,,,,,,,,471
2 IV H.17,faust://document/faustedition/2_IV_H.17,2 IV H.17,Witness,,87,349,350,2,,,,,,,,474
2 IV H.13a,faust://document/faustedition/2_IV_H.13a,2 IV H.13a,Witness,,88,341,355,4,,,,,,,,469
2 IV H.21,faust://document/faustedition/2_IV_H.21,2 IV H.21,Witness,,89,356,357,6,,,,,,,,478
2 IV H.22a,faust://document/faustedition/2_IV_H.22a,2 IV H.22a,Witness,,90,360,361,2,,,,,,,,481
2 IV H.22c,faust://document/faustedition/2_IV_H.22c,2 IV H.22c,Witness,,91,363,364,5,,,,,,,,483
2 IV H.22e,faust://document/faustedition/2_IV_H.22e,2 IV H.22e,Witness,,92,367,366,0,,,,,,,,486
2 IV H.22f,faust://document/faustedition/2_IV_H.22f,2 IV H.22f,Witness,,93,369,368,0,,,,,,,,487
2 IV H.3,faust://document/faustedition/2_IV_H.3,2 IV H.3,Witness,,94,371,373,6,,,,,,,,454
2 IV H.4,faust://document/faustedition/2_IV_H.4,2 IV H.4,Witness,,95,372,374,2,,,,,,,,455
2 IV H.6:1,faust://document/faustedition/2_IV_H.6_1,2 IV H.6:1,Witness,,96,376,377,2,,,,,,,,458
2 IV H.6:2,faust://document/faustedition/2_IV_H.6_2,2 IV H.6:2,Witness,,97,379,378,0,,,,,,,,459
2 IV H.7,faust://document/faustedition/2_IV_H.7,2 IV H.7,Witness,,98,380,382,6,,,,,,,,460
2 IV H.7a,faust://document/faustedition/2_IV_H.7a,2 IV H.7a,Witness,,99,381,383,4,,,,,,,,461
2 IV H.7b,faust://document/faustedition/2_IV_H.7b,2 IV H.7b,Witness,,100,385,384,0,,,,,,,,462
2 IV H.10,faust://document/faustedition/2_IV_H.10,2 IV H.10,Witness,,101,337,388,8,,,,,,,,465
2 IV H.15,faust://document/faustedition/2_IV_H.15,2 IV H.15,Witness,,102,347,389,7,,,,,,,,472
2 IV H.9,faust://document/faustedition/2_IV_H.9,2 IV H.9,Witness,,103,387,390,4,,,,,,,,464
2 I H.0,faust://document/faustedition/2_I_H.0,2 I H.0,Witness,,104,392,391,0,,,,,,,,118
2 I H.0a,faust://document/faustedition/2_I_H.0a,2 I H.0a,Witness,,105,394,393,0,,,,,,,,119
2 I H.0b,faust://document/faustedition/2_I_H.0b,2 I H.0b,Witness,,106,396,395,0,,,,,,,,120
2 I H.0c,faust://document/faustedition/2_I_H.0c,2 I H.0c,Witness,,107,398,397,0,,,,,,,,121
2 I H.0d,faust://document/faustedition/2_I_H.0d,2 I H.0d,Witness,,108,400,399,0,,,,,,,,122
2 I H.10,faust://document/faustedition/2_I_H.10,2 I H.10,Witness,,109,402,403,2,,,,,,,,149
2 I H.12:1,faust://document/faustedition/2_I_H.12_1,2 I H.12:1,Witness,,110,405,406,2,,,,,,,,152
