,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
1 H.10,faust://document/faustedition/1_H.10,1 H.10,Witness,,1,1,2,2,,,1800-11-09,,1800-11-09,1800.0,1800,13
1 H.15,faust://document/faustedition/1_H.15,1 H.15,Witness,,2,3,4,2,,,1776-01-02,1776-01-02,1776-01-02,1776.0,1776,18
1 H.8,faust://document/faustedition/1_H.8,1 H.8,Witness,,3,6,5,0,,,,,,,,11
wa: 182,faust://document/wa/182,wa: 182,UnknownRef,,4,8,7,0,,,,,,,,2
wa: 182 i_r_o,faust://inscription/wa/182/i_r_o,wa: 182 i_r_o,Inscription,wa: 182,5,9,10,2,,,1831-11-27,,1831-11-27,1831.0,1831,3
2 III H.12a,faust://document/faustedition/2_III_H.12a,2 III H.12a,Witness,,6,12,11,0,,,,,,,,339
2 III H.2:1,faust://document/faustedition/2_III_H.2_1,2 III H.2:1,Witness,,7,13,14,2,,,1826-05-19,,1826-05-19,1826.0,1826,307
2 III H.2:2,faust://document/faustedition/2_III_H.2_2,2 III H.2:2,Witness,,8,16,15,0,,,,,,,,308
2 III H.3a:1,faust://document/faustedition/2_III_H.3a_1,2 III H.3a:1,Witness,,9,18,17,0,,,,,,,,316
2 III H.3a:2,faust://document/faustedition/2_III_H.3a_2,2 III H.3a:2,Witness,,10,20,19,0,,,,,,,,317
2 III H.4,faust://document/faustedition/2_III_H.4,2 III H.4,Witness,,11,21,22,2,,,1826-06-10,1826-12-11,1826-06-10,1826.0,1826,319
2 III H.45a,faust://document/faustedition/2_III_H.45a,2 III H.45a,Witness,,12,24,23,0,,,,,,,,383
2 III H.45b,faust://document/faustedition/2_III_H.45b,2 III H.45b,Witness,,13,26,25,0,,,,,,,,384
2 III H.46a,faust://document/faustedition/2_III_H.46a,2 III H.46a,Witness,,14,28,27,0,,,,,,,,386
2 III H.46b,faust://document/faustedition/2_III_H.46b,2 III H.46b,Witness,,15,29,30,2,,,1826-04-01,1826-10-11,1826-04-01,1826.0,1826,387
2 III H.48,faust://document/faustedition/2_III_H.48,2 III H.48,Witness,,16,31,32,2,,,1826-05-19,,1826-05-19,1826.0,1826,389
2 III H.49,faust://document/faustedition/2_III_H.49,2 III H.49,Witness,,17,33,34,2,,,1825-04-06,,1825-04-06,1825.0,1825,391
