Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
faust://document/wa/2_III_H.2,,"ambiguous: 2_III_H.2_2, 2_III_H.2_1","fischer-lamberg/III.xml:9, fischer-lamberg/III.xml:35, fischer-lamberg/III.xml:53, fischer-lamberg/III.xml:64, fischer-lamberg/III.xml:80, fischer-lamberg/III.xml:95, fischer-lamberg/III.xml:108, fischer-lamberg/III.xml:118, fischer-lamberg/III.xml:127, fischer-lamberg/III.xml:137, fischer-lamberg/III.xml:145, fischer-lamberg/III.xml:155, fischer-lamberg/III.xml:165, fischer-lamberg/III.xml:176, fischer-lamberg/III.xml:187, fischer-lamberg/III.xml:197, fischer-lamberg/III.xml:207, fischer-lamberg/III.xml:217, fischer-lamberg/III.xml:227, fischer-lamberg/III.xml:235, fischer-lamberg/III.xml:244, fischer-lamberg/III.xml:253, fischer-lamberg/III.xml:266, fischer-lamberg/III.xml:278, fischer-lamberg/III.xml:289, fischer-lamberg/III.xml:302, fischer-lamberg/III.xml:315, fischer-lamberg/III.xml:328, fischer-lamberg/III.xml:338, fischer-lamberg/III.xml:352, fischer-lamberg/III.xml:365, fischer-lamberg/III.xml:376, fischer-lamberg/III.xml:389, fischer-lamberg/III.xml:400, fischer-lamberg/III.xml:413, fischer-lamberg/III.xml:423, fischer-lamberg/III.xml:435, fischer-lamberg/III.xml:447, fischer-lamberg/III.xml:458, fischer-lamberg/III.xml:470, fischer-lamberg/III.xml:485, fischer-lamberg/III.xml:494, fischer-lamberg/III.xml:506, fischer-lamberg/III.xml:518, fischer-lamberg/III.xml:531, fischer-lamberg/III.xml:555, fischer-lamberg/III.xml:566, fischer-lamberg/III.xml:577, fischer-lamberg/III.xml:589, fischer-lamberg/III.xml:591, fischer-lamberg/III.xml:604, fischer-lamberg/III.xml:615, fischer-lamberg/III.xml:617, fischer-lamberg/III.xml:629, fischer-lamberg/III.xml:630, fischer-lamberg/III.xml:649, fischer-lamberg/III.xml:661, fischer-lamberg/III.xml:672, fischer-lamberg/III.xml:693, fischer-lamberg/III.xml:704, fischer-lamberg/III.xml:715, fischer-lamberg/III.xml:724, fischer-lamberg/III.xml:734, fischer-lamberg/III.xml:767, fischer-lamberg/III.xml:781, fischer-lamberg/III.xml:792, fischer-lamberg/III.xml:804, fischer-lamberg/III.xml:813, fischer-lamberg/III.xml:824, fischer-lamberg/III.xml:832, fischer-lamberg/III.xml:839, fischer-lamberg/III.xml:847, fischer-lamberg/III.xml:855, fischer-lamberg/III.xml:862, fischer-lamberg/III.xml:869, fischer-lamberg/III.xml:872, fischer-lamberg/III.xml:883, fischer-lamberg/III.xml:891, fischer-lamberg/III.xml:894, fischer-lamberg/III.xml:903, fischer-lamberg/III.xml:911, fischer-lamberg/III.xml:914, fischer-lamberg/III.xml:922, fischer-lamberg/III.xml:925, fischer-lamberg/III.xml:933, fischer-lamberg/III.xml:940, fischer-lamberg/III.xml:948, fischer-lamberg/III.xml:958, fischer-lamberg/III.xml:967, fischer-lamberg/III.xml:980, fischer-lamberg/III.xml:992, fischer-lamberg/III.xml:998, fischer-lamberg/III.xml:1006, fischer-lamberg/III.xml:1008, fischer-lamberg/III.xml:1016, fischer-lamberg/III.xml:1018, fischer-lamberg/III.xml:1026, fischer-lamberg/III.xml:1028, fischer-lamberg/III.xml:1036, fischer-lamberg/III.xml:1038, fischer-lamberg/III.xml:1047, fischer-lamberg/III.xml:1049, fischer-lamberg/III.xml:1059, fischer-lamberg/III.xml:1067, fischer-lamberg/III.xml:1076, fischer-lamberg/III.xml:1084, fischer-lamberg/III.xml:1096, fischer-lamberg/III.xml:1107, fischer-lamberg/III.xml:1114, fischer-lamberg/III.xml:1122, fischer-lamberg/III.xml:1129, fischer-lamberg/III.xml:1132, fischer-lamberg/III.xml:1140, fischer-lamberg/III.xml:1150, fischer-lamberg/III.xml:1159, fischer-lamberg/III.xml:1170, fischer-lamberg/III.xml:1172, fischer-lamberg/III.xml:1181, fischer-lamberg/III.xml:1183, fischer-lamberg/III.xml:1192, fischer-lamberg/III.xml:1194, fischer-lamberg/III.xml:1202, fischer-lamberg/III.xml:1204, fischer-lamberg/III.xml:1211, fischer-lamberg/III.xml:1213, fischer-lamberg/III.xml:1220, fischer-lamberg/III.xml:1229, fischer-lamberg/III.xml:1236, fischer-lamberg/III.xml:1242, fischer-lamberg/III.xml:1254, fischer-lamberg/III.xml:1264, fischer-lamberg/III.xml:1271, fischer-lamberg/III.xml:1283, fischer-lamberg/III.xml:1292, fischer-lamberg/III.xml:1294, fischer-lamberg/III.xml:1305, fischer-lamberg/III.xml:1318, fischer-lamberg/III.xml:1326, fischer-lamberg/III.xml:1335, fischer-lamberg/III.xml:1343, fischer-lamberg/III.xml:1370, fischer-lamberg/III.xml:1383, fischer-lamberg/III.xml:1399, fischer-lamberg/III.xml:1410, fischer-lamberg/III.xml:1418, fischer-lamberg/III.xml:1420, fischer-lamberg/III.xml:1431, fischer-lamberg/III.xml:1433, fischer-lamberg/III.xml:1443, fischer-lamberg/III.xml:1445, fischer-lamberg/III.xml:1457, fischer-lamberg/III.xml:1466, fischer-lamberg/III.xml:1474, fischer-lamberg/III.xml:1482, fischer-lamberg/III.xml:1489, fischer-lamberg/III.xml:1495, fischer-lamberg/III.xml:1505, fischer-lamberg/III.xml:1521, fischer-lamberg/III.xml:1526, handschriftendatierung_iii.xml:14, handschriftendatierung_iii.xml:29, handschriftendatierung_iii.xml:35, handschriftendatierung_iii.xml:41, handschriftendatierung_iii.xml:95, handschriftendatierung_iii.xml:686, handschriftendatierung_iii.xml:783, handschriftendatierung_iii.xml:828, handschriftendatierung_iii.xml:845, handschriftendatierung_iii.xml:988, handschriftendatierung_iii.xml:1003, handschriftendatierung_iii.xml:1011, handschriftendatierung_iii.xml:1027, handschriftendatierung_iii.xml:1044, handschriftendatierung_iii.xml:1422, wa/15_2/III.xml:9, wa/15_2/III.xml:18, wa/15_2/III.xml:39, wa/15_2/III.xml:70, wa/15_2/III.xml:77, wa/15_2/III.xml:91, wa/15_2/III.xml:128, wa/15_2/III.xml:173, wa/15_2/III.xml:178, wa/15_2/III.xml:189, wa/15_2/III.xml:207, wa/15_2/III.xml:220, wa/15_2/III.xml:251, wa/15_2/III.xml:270, wa/15_2/III.xml:290, wa/15_2/III.xml:297, wa/15_2/III.xml:307, wa/15_2/III.xml:328, wa/15_2/III.xml:337, wa/15_2/III.xml:345, wa/15_2/III.xml:353, wa/15_2/III.xml:363, wa/15_2/III.xml:369, wa/15_2/III.xml:378, wa/15_2/III.xml:386, wa/15_2/III.xml:399, wa/15_2/III.xml:410, wa/15_2/III.xml:421, wa/15_2/III.xml:427, wa/15_2/III.xml:434, wa/15_2/III.xml:441, wa/15_2/III.xml:453, wa/15_2/III.xml:459, wa/15_2/III.xml:479, wa/15_2/III.xml:484, wa/15_2/III.xml:491, wa/15_2/III.xml:538, wa/15_2/III.xml:544, wa/15_2/III.xml:551, wa/15_2/III.xml:564, wa/15_2/III.xml:575, wa/15_2/III.xml:581, wa/15_2/III.xml:596, wa/15_2/III.xml:600, wa/15_2/III.xml:618, wa/15_2/III.xml:623, wa/15_2/III.xml:633, wa/15_2/III.xml:648, wa/15_2/III.xml:655, wa/15_2/III.xml:668, wa/15_2/III.xml:684"
faust://document/wa/2_III_H.III,,"ambiguous: 2_III_H.3a_2, 2_III_H.3a_1","fischer-lamberg/III.xml:11, fischer-lamberg/III.xml:19, fischer-lamberg/III.xml:27, fischer-lamberg/III.xml:37, fischer-lamberg/III.xml:45, fischer-lamberg/III.xml:55, fischer-lamberg/III.xml:69, fischer-lamberg/III.xml:86, fischer-lamberg/III.xml:98, fischer-lamberg/III.xml:111, fischer-lamberg/III.xml:121, fischer-lamberg/III.xml:130, fischer-lamberg/III.xml:139, fischer-lamberg/III.xml:147, fischer-lamberg/III.xml:157, fischer-lamberg/III.xml:167, fischer-lamberg/III.xml:178, fischer-lamberg/III.xml:189, fischer-lamberg/III.xml:199, fischer-lamberg/III.xml:209, fischer-lamberg/III.xml:218, fischer-lamberg/III.xml:228, fischer-lamberg/III.xml:237, fischer-lamberg/III.xml:245, fischer-lamberg/III.xml:254, fischer-lamberg/III.xml:267, fischer-lamberg/III.xml:279, fischer-lamberg/III.xml:290, fischer-lamberg/III.xml:303, fischer-lamberg/III.xml:316, fischer-lamberg/III.xml:329, fischer-lamberg/III.xml:342, fischer-lamberg/III.xml:356, fischer-lamberg/III.xml:366, fischer-lamberg/III.xml:377, fischer-lamberg/III.xml:390, fischer-lamberg/III.xml:401, fischer-lamberg/III.xml:414, fischer-lamberg/III.xml:424, fischer-lamberg/III.xml:436, fischer-lamberg/III.xml:448, fischer-lamberg/III.xml:459, fischer-lamberg/III.xml:471, fischer-lamberg/III.xml:486, fischer-lamberg/III.xml:495, fischer-lamberg/III.xml:507, fischer-lamberg/III.xml:519, fischer-lamberg/III.xml:532, fischer-lamberg/III.xml:556, fischer-lamberg/III.xml:567, fischer-lamberg/III.xml:578, fischer-lamberg/III.xml:592, fischer-lamberg/III.xml:605, fischer-lamberg/III.xml:618, fischer-lamberg/III.xml:631, fischer-lamberg/III.xml:650, fischer-lamberg/III.xml:662, fischer-lamberg/III.xml:663, fischer-lamberg/III.xml:673, fischer-lamberg/III.xml:674, fischer-lamberg/III.xml:696, fischer-lamberg/III.xml:707, fischer-lamberg/III.xml:716, fischer-lamberg/III.xml:725, fischer-lamberg/III.xml:735, fischer-lamberg/III.xml:769, fischer-lamberg/III.xml:782, fischer-lamberg/III.xml:793, fischer-lamberg/III.xml:873, fischer-lamberg/III.xml:884, fischer-lamberg/III.xml:895, fischer-lamberg/III.xml:904, fischer-lamberg/III.xml:915, fischer-lamberg/III.xml:926, fischer-lamberg/III.xml:999, fischer-lamberg/III.xml:1009, fischer-lamberg/III.xml:1019, fischer-lamberg/III.xml:1029, fischer-lamberg/III.xml:1039, fischer-lamberg/III.xml:1050, fischer-lamberg/III.xml:1133, fischer-lamberg/III.xml:1141, fischer-lamberg/III.xml:1160, fischer-lamberg/III.xml:1173, fischer-lamberg/III.xml:1184, fischer-lamberg/III.xml:1195, fischer-lamberg/III.xml:1243, fischer-lamberg/III.xml:1255, fischer-lamberg/III.xml:1265, fischer-lamberg/III.xml:1272, fischer-lamberg/III.xml:1306, fischer-lamberg/III.xml:1355, fischer-lamberg/III.xml:1371, fischer-lamberg/III.xml:1384, fischer-lamberg/III.xml:1421, fischer-lamberg/III.xml:1434, fischer-lamberg/III.xml:1446, fischer-lamberg/III.xml:1531, handschriftendatierung_iii.xml:89, handschriftendatierung_iii.xml:96, handschriftendatierung_iii.xml:104, handschriftendatierung_iii.xml:1018, wa/15_2/III.xml:11, wa/15_2/III.xml:24, wa/15_2/III.xml:32, wa/15_2/III.xml:49, wa/15_2/III.xml:56, wa/15_2/III.xml:71, wa/15_2/III.xml:78, wa/15_2/III.xml:97, wa/15_2/III.xml:129, wa/15_2/III.xml:239, wa/15_2/III.xml:245, wa/15_2/III.xml:252, wa/15_2/III.xml:271, wa/15_2/III.xml:308, wa/15_2/III.xml:329, wa/15_2/III.xml:346, wa/15_2/III.xml:354, wa/15_2/III.xml:370, wa/15_2/III.xml:379, wa/15_2/III.xml:387, wa/15_2/III.xml:400, wa/15_2/III.xml:422, wa/15_2/III.xml:428, wa/15_2/III.xml:454, wa/15_2/III.xml:462, wa/15_2/III.xml:492, wa/15_2/III.xml:517, wa/15_2/III.xml:539, wa/15_2/III.xml:545, wa/15_2/III.xml:552, wa/15_2/III.xml:586, wa/15_2/III.xml:638, wa/15_2/III.xml:649, wa/15_2/III.xml:656, wa/15_2/III.xml:685"
faust://document/wa/2_III_H.6,,"ambiguous: 2_III_H.6_2, 2_III_H.6_1","fischer-lamberg/III.xml:51, fischer-lamberg/III.xml:298, fischer-lamberg/III.xml:310, fischer-lamberg/III.xml:323, fischer-lamberg/III.xml:384, fischer-lamberg/III.xml:1564, handschriftendatierung_iii.xml:494, wa/15_2/III.xml:44, wa/15_2/III.xml:153, wa/15_2/III.xml:163, wa/15_2/III.xml:180, wa/15_2/III.xml:200, wa/15_2/III.xml:212"
faust://document/wa/2_III_H.7,,"ambiguous: 2_III_H.7_5, 2_III_H.7_3, 2_III_H.7_1, 2_III_H.7_2, 2_III_H.7_4","handschriftendatierung_iii.xml:50, handschriftendatierung_iii.xml:65, handschriftendatierung_iii.xml:74, wa/15_2/III.xml:55, wa/15_2/III.xml:461, wa/15_2/III.xml:474"
faust://document/wa/2_II_H.27,,"ambiguous: 2_II_H.27_1, 2_II_H.27_2","fischer-lamberg/II.xml:262, fischer-lamberg/II.xml:271, fischer-lamberg/II.xml:281, fischer-lamberg/II.xml:740, handschriftendatierung_ii.xml:209, handschriftendatierung_ii.xml:314, handschriftendatierung_ii.xml:329, wa/15_2/II.xml:202, wa/15_2/II.xml:210, wa/15_2/II.xml:216"
faust://document/wa/2_II_H.2,,"ambiguous: 2_II_H.2_3, 2_II_H.2_2, 2_II_H.2_1",wa/15_2/II.xml:8
faust://document/wa/2_IV_H.g,,"ambiguous: 2_IV_H.22e, 2_IV_H.22f","handschriftendatierung_iv.xml:17, handschriftendatierung_iv.xml:521, handschriftendatierung_iv.xml:527, handschriftendatierung_iv.xml:545, wa/15_2/IV.xml:201, wa/15_2/IV.xml:207"
faust://document/wa/2_IV_H.6,,"ambiguous: 2_IV_H.6_1, 2_IV_H.6_2","handschriftendatierung_iv.xml:56, handschriftendatierung_iv.xml:62, wa/15_2/IV.xml:81, wa/15_2/IV.xml:136"
faust://document/wa/2_I_H.12,,"ambiguous: 2_I_H.12_1, 2_I_H.12_2","handschriftendatierung_i.xml:140, handschriftendatierung_i.xml:147, handschriftendatierung_i.xml:153"
faust://document/wa/2_I_H.9,,"ambiguous: 2_I_H.9a, 2_I_H.9, 2_I_H.9b","handschriftendatierung_i.xml:97, wa/15_2/I.xml:50, wa/15_2/I.xml:56"
